Ref,Val,Package,PosX,PosY,Rot,Side
"J7","Conn_01x02_Socket","AMASS_XT60-F_1x02_P7.20mm_Vertical",165.900000,-115.500000,0.000000,top
"J8","Conn_01x03_Socket","Connector_2510-3P",195.500000,-61.500000,0.000000,top
"J9","Conn_01x02_Socket","AMASS_XT60-F_1x02_P7.20mm_Vertical",149.400000,-115.500000,0.000000,top
"J10","Conn_01x03_Socket","Connector_2510-3P",195.500000,-68.000000,0.000000,top
"J11","Conn_01x02_Socket","AMASS_XT60-F_1x02_P7.20mm_Vertical",132.900000,-115.500000,0.000000,top
"J12","Conn_01x03_Socket","Connector_2510-3P",195.500000,-74.500000,0.000000,top
"J13","Conn_01x03_Socket","Connector_2510-3P",195.500000,-81.000000,0.000000,top
"J14","Conn_01x03_Socket","Connector_2510-3P",195.500000,-87.500000,0.000000,top
"J15","Conn_01x02_Socket","AMASS_XT90PW-M_1x02_P11.00mm_Horizontal",133.400000,-74.050000,0.000000,top
"J16","Conn_01x02_Socket","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",122.500000,-53.000000,0.000000,top
"K1","V23134J","V23134J1052D642",151.000000,-94.000000,180.000000,top
"Q1","NTA7002NT1G","SOT50P160X90-3N",130.700000,-94.000000,0.000000,top
"Q2","IRFIZ24NPbF","TO-220-3_Vertical",131.445000,-87.540000,90.000000,top
"Q4","2SA1162-GR_F_","SC-59",170.000000,-65.000000,180.000000,top
"Q5","2SA1162-GR_F_","SC-59",174.000000,-67.000000,180.000000,top
"Q13","2SC2712-GR_TE85L,F","SOT95P260X156-3N",142.686443,-78.864947,180.000000,top
"Q15","IRFL014TRPBF","SOT230P700X180-4N",154.000000,-76.000000,-90.000000,top
"R4","13k","R_0603_1608Metric",133.000000,-101.000000,90.000000,top
"R5","4.7k","R_0603_1608Metric",133.000000,-98.000000,90.000000,top
"R8","10k","R_0603_1608Metric",130.723893,-92.180854,0.000000,top
"R14","16k","R_0603_1608Metric",170.000000,-68.000000,0.000000,top
"R15","330","R_0603_1608Metric",177.000000,-61.500000,90.000000,top
"R16","560","R_0603_1608Metric",159.448085,-52.834604,90.000000,top
"R17","16k","R_0603_1608Metric",170.000000,-70.000000,0.000000,top
"R18","330","R_0603_1608Metric",177.000000,-64.500000,-90.000000,top
"R19","560","R_0603_1608Metric",154.338238,-52.808808,90.000000,top
"R22","560","R_0603_1608Metric",159.380110,-65.500000,-90.000000,top
"R25","560","R_0603_1608Metric",150.693174,-65.500000,-90.000000,top
"R26","2.2k","R_0603_1608Metric",168.000000,-79.000000,-90.000000,top
"R28","2.2k","R_0603_1608Metric",168.000000,-82.000000,-90.000000,top
"R30","2.2k","R_0603_1608Metric",168.000000,-85.000000,-90.000000,top
"R32","2.2k","R_0603_1608Metric",168.000000,-88.000000,-90.000000,top
"R34","2.2k","R_0603_1608Metric",168.000000,-91.000000,-90.000000,top
"R37","2.2k","R_0603_1608Metric",130.000000,-78.500000,180.000000,top
"S1","SKRPACE010","SMT_4.2X3.2_",112.001483,-53.602024,-90.000000,top
"U3","TLP291","SOIC-4_4.55x2.6mm_P1.27mm",170.000000,-58.500000,90.000000,top
"U4","TLP291","SOIC-4_4.55x2.6mm_P1.27mm",174.000000,-60.500000,90.000000,top
"U5","TLP291","SOIC-4_4.55x2.6mm_P1.27mm",162.000000,-72.500000,-90.000000,top
"U6","TLP291","SOIC-4_4.55x2.6mm_P1.27mm",153.262632,-66.635143,90.000000,top
